Name,DIST,Z
SUB7,2668.772004,505
SUB7,2688.772004,505
SUB7,2708.772004,505
SUB7,2728.772004,505
SUB7,2748.772004,505
SUB7,2768.772004,505
SUB7,2797.056275,505
SUB7,2817.056275,505
SUB7,2837.056275,505
SUB7,2857.056275,505
SUB7,2885.340546,505
SUB7,2913.624817,505
SUB7,2941.909089,505
SUB7,2970.19336,505
SUB7,2998.477631,505
SUB7,3026.761902,505
SUB7,3046.761902,505
SUB7,3075.046174,505
SUB7,3095.046174,505
SUB7,3123.330445,504.9956055
SUB7,3143.330445,502.0202942
SUB7,3171.614716,496.5494385
SUB7,3191.614716,495.34552
SUB7,3219.898987,495
SUB7,3248.183259,495
SUB7,3276.46753,495
SUB7,3304.751801,492.5395508
SUB7,3324.751801,486.5989685
SUB7,3344.751801,485.0564575
SUB7,3373.036072,485.0191956
SUB7,3393.036072,485
SUB7,3421.320344,485
SUB7,3449.604615,485
SUB7,3477.888886,485
SUB7,3497.888886,485
SUB7,3526.173157,485
SUB7,3546.173157,485
SUB7,3574.457429,485
SUB7,3594.457429,485
SUB7,3614.457429,485
SUB7,3634.457429,485
SUB7,3654.457429,485
SUB7,3674.457429,485
SUB7,3702.7417,485
SUB7,3731.025971,485
SUB7,3759.310242,485
SUB7,3787.594514,485
SUB7,3807.594514,485
SUB7,3835.878785,485
SUB7,3855.878785,485
SUB7,3884.163056,485
SUB7,3912.447327,485
SUB7,3932.447327,485
SUB7,3960.731599,485
SUB7,3989.01587,484.9092712
SUB7,4009.01587,483.1215515
SUB7,4029.01587,480.0685425
SUB7,4049.01587,478.5856323
SUB7,4069.01587,475.4433899
SUB7,4089.01587,475
SUB7,4109.01587,475
SUB7,4129.01587,475
SUB7,4149.01587,475
SUB7,4169.01587,475
SUB7,4197.300141,475
SUB7,4217.300141,475
SUB7,4237.300141,475
SUB7,4265.584412,475
SUB7,4293.868684,475
SUB7,4313.868684,475
SUB7,4342.152955,475
SUB7,4362.152955,475
SUB7,4390.437226,475
SUB7,4410.437226,475
SUB7,4430.437226,475
SUB7,4458.721497,475
SUB7,4478.721497,475
SUB7,4498.721497,475
SUB7,4527.005769,475
SUB7,4547.005769,475
SUB7,4567.005769,475
SUB7,4595.29004,475
SUB7,4623.574311,475
SUB7,4651.858582,475
SUB7,4671.858582,475
SUB7,4700.142854,475
SUB7,4728.427125,475
SUB7,4748.427125,475
SUB7,4768.427125,475
SUB7,4796.711396,475
SUB7,4816.711396,475
SUB7,4844.995667,475
SUB7,4864.995667,475
SUB7,4884.995667,475
SUB7,4904.995667,475
